Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
72, Aldrich,"Social, not physical, infrastructure: the critical role of civil society after the 1923 Tokyo earthquake",254,2012, Wiley Online Library, Disasters,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-7717.2011.01263.x,20
51,"Meltzer, P Bebbington, T Brugha…",The relationship between personal debt and specific common mental disorders,212,2013, academic.oup.com, … European Journal of …,https://academic.oup.com/eurpub/article-abstract/23/1/108/464719,18
5,"A Bouman, R Houtman",Pawnbroking as an instrument of rural banking in the Third World,115,1988, journals.uchicago.edu, Economic development and …,https://www.journals.uchicago.edu/doi/pdf/10.1086/451708,3
25," Kubrin, JR Hipp",Do fringe banks create fringe neighborhoods? Examining the spatial relationship between fringe banking and neighborhood crime rates,109,2016, Taylor & Francis, Justice Quarterly,https://www.tandfonline.com/doi/abs/10.1080/07418825.2014.959036,12
65,Faulkner,Automated classification of stance in student essays: An approach using stance target information and the Wikipedia link-based measure,99,2014, cdn.aaai.org,Seventh International Flairs Conference,https://cdn.aaai.org/ocs/7882/7882-36719-1-PB.pdf,9
59," Wintemute, PJ Cook, MA Wright",Risk factors among handgun retailers for frequent and disproportionate sales of guns used in violent and firearm related crimes,71,2005, injuryprevention.bmj.com, Injury Prevention,https://injuryprevention.bmj.com/content/11/6/357.short,4
78, Williams,Ideology as dystopia: An interpretation of Blade Runner,61,1988, journals.sagepub.com, International Political Science Review,https://journals.sagepub.com/doi/abs/10.1177/019251218800900406,2
50," Rogers, ZS Rogers, R Lembke",Creating value through product stewardship and take‐back,56,2010, emerald.com, … Accounting  Management and …,https://www.emerald.com/insight/content/doi/10.1108/20408021011089211/full/html,4
97,"Cover, A Fuhrman Spring…",Minorities on the margins? The spatial organization of fringe banking services,55,2011, Taylor & Francis, Journal of Urban …,https://www.tandfonline.com/doi/abs/10.1111/j.1467-9906.2011.00553.x,4
7, Prager,Determinants of the locations of alternative financial service providers,54,2014, Springer, Review of Industrial Organization,https://link.springer.com/article/10.1007/s11151-014-9421-4,5
80,"B PMP, PMP CFM",A practical guide to earned value project management,53,2009, books.google.com,,https://books.google.com/books?hl=en&lr=&id=ThlFDwAAQBAJ&oi=fnd&pg=PT17&dq=pawnbroker+metrics&ots=ztQj7m0u0W&sig=Sk0v07_rx7y5whgnVaio3KgVuSg,3
10,Eisenber,"From payday loans to pawnshops: Fringe banking, the unbanked, and health",52,2018, healthaffairs.org, Health Affairs,https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2017.1219,7
86,"Landis, JJ Gladstone","Personality, income, and compensatory consumption: Low-income extraverts spend more on status",51,2017, journals.sagepub.com, Psychological science,https://journals.sagepub.com/doi/full/10.1177/0956797617714811,6
39,Karger,Curbing the financial exploitation of the poor: Financial literacy and social work education,46,2015, Taylor & Francis, Journal of Social Work Education,https://www.tandfonline.com/doi/abs/10.1080/10437797.2015.1043194,5
57,Wintemute,Firearm retailers' willingness to participate in an illegal gun purchase,44,2010, Springer, Journal of Urban Health,https://link.springer.com/article/10.1007/s11524-010-9489-6,3
42,Maurer,"Afterword: mobile money, money magic, purse limits and pins: tracing monetary pragmatics",33,2013, api.taylorfrancis.com, Beyond Liquidity,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781315872858-11&type=chapterpdf,3
84," Andresen, T Hodgkinson","Predicting property crime risk: An application of risk terrain modeling in Vancouver, Canada",31,2018, Springer, European Journal on Criminal Policy and …,https://link.springer.com/article/10.1007/s10610-018-9386-1,4
90," Mburu, M Helbich","Environmental risk factors influencing bicycle theft: A spatial analysis in London, UK",28,2016, journals.plos.org, PLoS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0163354,3
14," Lee, R Gainey, R Triplett",Banking options and neighborhood crime: does fringe banking increase neighborhood crime?,27,2014, Springer, American Journal of Criminal Justice,https://link.springer.com/article/10.1007/s12103-013-9228-0,2
93," Bove, SJ Pervan",Stigmatized labour: An overlooked service worker's stress,27,2013, journals.sagepub.com, Australasian marketing journal,https://journals.sagepub.com/doi/abs/10.1016/j.ausmj.2013.08.006,2
95,"Muneer Babu, P Kulshreshtha",Productivity change and technical efficiency in Indian microfinance institutions,25,2014, researchgate.net, Studies in Microeconomics,https://www.researchgate.net/profile/Praveen-Kulshreshtha-2/publication/280211534_Productivity_Change_and_Technical_Efficiency_in_Indian_Microfinance_Institutions/links/60d990c8299bf1ea9ec73365/Productivity-Change-and-Technical-Efficiency-in-Indian-Microfinance-Institutions.pdf,2
53,"Nurdin, H Tegnan","Legal Certainty in the Management of Agricultural Land Pawning in the Matrilineal Minangkabau Society, West Sumatra",25,2019, mdpi.com, Land,https://www.mdpi.com/2073-445X/8/8/117,4
